,Close,High,Low,Open,Volume,SMA_30,Price_SMA_Ratio,RSI_14,MACD,MACD_Signal,MACD_Hist,Returns,Volatility_30d,Forward_Return_30d,CapMrktCurUSD,CapMVRVCur,AdrActCnt,HashRate,IssTotUSD,TxCnt,TxTfrCnt,FeeTotNtv,FlowInExUSD,FlowOutExUSD,SplyCur,SplyExNtv,BlkCnt,AdrBalCnt,CapMrktEstUSD,PriceUSD,Puell_Multiple,NVT_proxy,NetFlowExUSD,ExchangeSupplyRatio,MVRV_Z,AdrActCnt_log,HashRate_log,CapMrktCurUSD_log,TxCnt_log,TxTfrCnt_log,IssTotUSD_log,CapMVRVCur_roc_7d,CapMVRVCur_roc_30d,AdrActCnt_roc_7d,AdrActCnt_roc_30d,HashRate_roc_7d,HashRate_roc_30d,TxCnt_roc_7d,TxCnt_roc_30d,NetFlowExUSD_7d,regime_base,regime_conservative,regime_aggressive,cycle,regime_price
2015-01-01,314.2489929199219,320.43499755859375,314.00299072265625,320.43499755859375,8036550,,,,0.0,0.0,0.0,,,-0.307988221391002,4304761773.784208,0.98274685,145765,333345.017260144,1298452.9467781987,60177,152648,8.19708968,1404617.940558523,1192568.5931859184,13675614.78521033,870120.82211681,165,3940851,,314.77647194623,,89.58921692528125,212049.34737260453,0.0636257189006093,,11.88975787520312,12.716936320352646,22.182987636427185,11.005062115999351,11.93589644720806,14.0766848429779,,,,,,,,,,0,1,0,1,1
2015-01-02,315.0320129394531,315.8389892578125,313.56500244140625,314.0790100097656,7860650,,,,0.0175677568483934,0.0097598649157741,0.0078078919326192,0.0024917184690256,,-0.2795271883505608,4322014357.174627,0.98668726,212932,333345.017260144,1303263.7684102864,83050,241133,12.33977385,1429645.7320126689,1593095.774542407,13679739.78521033,869603.4813898,165,3948156,,315.942731735827,,56.73109771458212,-163450.04252973804,0.0635687151249733,,12.268732841218467,12.716936320352646,22.186987417139107,11.327210155908142,12.393108074550348,14.080383034551788,,,,,,,,,,0,1,0,1,1
2015-01-03,281.0820007324219,315.1499938964844,281.0820007324219,314.84600830078125,33054400,,,,-1.0304030378881066,-0.4165364067251605,-0.613866631162946,-0.1077668643584999,,-0.1524572783547464,3908737739.4016304,0.89443575,241755,327284.198764505,1156871.604529515,81404,266646,11.68691488,5156025.184200925,7187412.597181441,13683789.78496462,862491.95839074,162,3962389,,285.647309760374,,51.31818885325345,-2031387.4129805164,0.0630301964546709,,12.395684232035476,12.69858723723789,22.086480330281553,11.307191975165615,12.493680965262287,13.961230891668762,,,,,,,,,,0,1,0,1,1
2015-01-04,264.19500732421875,287.2300109863281,257.61199951171875,281.14599609375,55629100,,,,-2.0914866020614795,-0.9839314593458648,-1.1075551427156147,-0.0600785299812876,,-0.1397717630137058,3604547303.485488,0.826303,235011,347486.927083302,1132338.671683228,82769,244195,21.57327749,3861597.4398493767,2975985.9117467585,13688089.78496462,865855.02428796,172,3970882,,263.334574810053,,56.05393142760752,885611.5281026182,0.0632560888984699,,12.36739185565237,12.758485201177134,22.00546202545299,11.32382095587944,12.405726460508207,13.939796556059676,,,,,,,,,,0,1,0,1,1
2015-01-05,274.4739990234375,278.34100341796875,265.0840148925781,265.0840148925781,43962800,,,,-2.2150077458954343,-1.350148822074794,-0.8648589238206401,0.0389068355353301,,-0.17349913786624,3765349926.232124,0.86470946,242515,315162.561773228,1072515.0210403278,95721,264832,15.99976518,2407906.854293986,2432126.9192895526,13691989.78496462,865766.95255784,156,3968971,,275.003851548802,,51.70066224989662,-24220.064995566383,0.0632316388015825,,12.398822966564577,12.660847026771927,22.04910663603934,11.469203436078995,12.486854717636763,13.885517867705678,,,,,,,,,,0,1,0,1,1
2015-01-06,286.1889953613281,287.5530090332031,272.6960144042969,274.6109924316406,23245700,,,,-1.746685820225366,-1.4576323956042017,-0.2890534246211644,0.0426816251432626,,-0.2413719746368059,3938260925.363736,0.90423431,215554,319203.107436987,1135820.6081092916,88848,224039,13.0111396,2611029.5449064095,3861007.2519714735,13695939.78496462,861419.95276962,158,3971085,,287.549521040327,,61.13194481748544,-1249977.707065064,0.0628960090577563,,12.280971376380382,12.67358601238536,22.09400507356756,11.394693578595431,12.319579886323767,13.942866830816868,,,,,,,,,,0,1,0,1,1
2015-01-07,294.3370056152344,298.7539978027344,283.0790100097656,286.0769958496094,24866800,,,,-1.0471417567579238,-1.3537481658059625,0.3066064090480387,0.0284707322293051,,-0.2448587767442367,4076070558.8848286,0.93577843,204697,282838.196463153,1041374.4780829916,92569,215934,13.31170565,3814643.117407621,5378804.092374072,13699439.78496462,856162.8972842,140,3978304,,297.535565166569,,63.44271761262525,-1564160.9749664515,0.0624961977075773,,12.229291001205947,12.55263380475513,22.128399263218103,11.435720394061256,12.282732715453085,13.85605297236532,,,,,,,,,-562219.3324374448,0,1,0,1,1
2015-01-08,283.3489990234375,294.135009765625,282.17498779296875,294.135009765625,19982500,,,,-1.0838268288238735,-1.2888809926572995,0.2050541638334257,-0.0373313799562149,,-0.1962068029614055,3896376434.109535,0.89651769,230454,296980.106286311,1044958.2901446528,105611,265946,16.02188773,2397777.8445232566,3831286.8728607846,13703114.78496462,851121.4083283,147,3985858,,284.342391876096,,51.52592926746265,-1433509.028337528,0.0621115287790021,,12.347810894593692,12.601423800563698,22.08331283898054,11.567527280161812,12.491052319790992,13.859488485822837,-0.0877430031955838,,0.5809968099337977,,-0.1090909090909064,,0.7550060654402846,,-797299.1003960352,0,1,0,1,1
2015-01-09,290.4079895019531,291.114013671875,280.5329895019531,282.38299560546875,18718600,,,,-0.7425174512000581,-1.1626683040571704,0.4201508528571123,0.0249127066015564,,-0.230696087436761,4009200101.349313,0.9241025,237524,282838.196463153,1023753.9009351257,100397,271077,15.13320827,2735343.9446467184,4494900.368884972,13706614.78496462,845105.85373143,140,3989928,,292.501114552893,,50.563547571223744,-1759556.424238254,0.0616567888563165,,12.378028160074953,12.55263380475513,22.1118575826436,11.516897565722628,12.510161881327008,13.838987701376176,-0.0634291761302359,,0.1154922698326226,,-0.1515151515151499,,0.2088741721854303,,-1025314.297782966,0,1,0,1,1
2015-01-10,274.7959899902344,288.12701416015625,273.96600341796875,287.3030090332031,15264300,,,,-1.29376280392961,-1.1920410820538707,-0.1017217218757393,-0.0537588498804498,,-0.1990057765465436,3787200643.1621666,0.87375367,274443,296980.106286311,1015147.2056326692,106342,332896,15.4105739,8461987.113223823,6046179.036778437,13710289.78496462,853851.47666343,147,4013114,,276.230532144944,,41.18490394887478,2415808.076445386,0.0622781494815525,,12.52250251183343,12.601423800563698,22.05489296681327,11.5744249980578,12.71558841180728,13.830545175200458,-0.0231230471277561,,0.1352112676056338,,-0.0925925925925897,,0.3063485823792442,,-390000.65643640846,0,1,0,1,1
