time,CapMrktCurUSD,CapMVRVCur,AdrActCnt,HashRate,IssTotUSD,TxCnt,TxTfrCnt,FeeTotNtv,FlowInExUSD,FlowOutExUSD,SplyCur,SplyExNtv,BlkCnt,AdrBalCnt,CapMrktEstUSD,PriceUSD,Puell_Multiple,NVT_proxy,NetFlowExUSD,ExchangeSupplyRatio
2015-01-01,4304761773.784208,0.98274685,145765,333345.017260144,1298452.9467781987,60177,152648,8.19708968,1404617.940558523,1192568.5931859184,13675614.78521033,870120.82211681,165,3940851,,314.77647194623,,89.58921692528125,212049.34737260453,0.06362571890060938
2015-01-02,4322014357.174627,0.98668726,212932,333345.017260144,1303263.7684102864,83050,241133,12.33977385,1429645.7320126689,1593095.774542407,13679739.78521033,869603.4813898,165,3948156,,315.942731735827,,56.73109771458212,-163450.04252973804,0.06356871512497338
2015-01-03,3908737739.4016304,0.89443575,241755,327284.198764505,1156871.604529515,81404,266646,11.68691488,5156025.184200925,7187412.597181441,13683789.78496462,862491.95839074,162,3962389,,285.647309760374,,51.31818885325345,-2031387.4129805164,0.06303019645467098
2015-01-04,3604547303.485488,0.826303,235011,347486.927083302,1132338.671683228,82769,244195,21.57327749,3861597.4398493767,2975985.9117467585,13688089.78496462,865855.02428796,172,3970882,,263.334574810053,,56.05393142760752,885611.5281026182,0.06325608889846993
2015-01-05,3765349926.232124,0.86470946,242515,315162.561773228,1072515.0210403278,95721,264832,15.99976518,2407906.854293986,2432126.9192895526,13691989.78496462,865766.95255784,156,3968971,,275.003851548802,,51.70066224989662,-24220.064995566383,0.0632316388015825
2015-01-06,3938260925.363736,0.90423431,215554,319203.107436987,1135820.6081092916,88848,224039,13.0111396,2611029.5449064095,3861007.2519714735,13695939.78496462,861419.95276962,158,3971085,,287.549521040327,,61.13194481748544,-1249977.707065064,0.06289600905775633
2015-01-07,4076070558.8848286,0.93577843,204697,282838.196463153,1041374.4780829916,92569,215934,13.31170565,3814643.117407621,5378804.092374072,13699439.78496462,856162.8972842,140,3978304,,297.535565166569,,63.44271761262525,-1564160.9749664515,0.06249619770757736
2015-01-08,3896376434.109535,0.89651769,230454,296980.106286311,1044958.2901446528,105611,265946,16.02188773,2397777.8445232566,3831286.8728607846,13703114.78496462,851121.4083283,147,3985858,,284.342391876096,,51.52592926746265,-1433509.028337528,0.06211152877900216
2015-01-09,4009200101.349313,0.9241025,237524,282838.196463153,1023753.9009351257,100397,271077,15.13320827,2735343.9446467184,4494900.368884972,13706614.78496462,845105.85373143,140,3989928,,292.501114552893,,50.563547571223744,-1759556.4242382539,0.061656788856316536
2015-01-10,3787200643.1621666,0.87375367,274443,296980.106286311,1015147.2056326692,106342,332896,15.4105739,8461987.113223823,6046179.036778437,13710289.78496462,853851.47666343,147,4013114,,276.230532144944,,41.18490394887478,2415808.076445386,0.06227814948155259
2015-01-11,3685757426.270803,0.85069708,249636,313142.288941348,1041427.6225160736,89751,268093,13.18200571,2348060.2019628873,2465580.002785052,13714164.78496462,853414.20265769,155,4014140,,268.755515488019,,51.154505283482294,-117519.80082216486,0.062228667661432924
